business_name,category,subcategory,city,address,phone,whatsapp_url,distance_km,google_rating,google_reviews,has_website,play,priority_score,outreach_template
HidroBaby | Babyspa | Spa de bebés | Hidroestimulación,Spa/Wellness,Spa,Asunción,"Del Maestro, Asunción 001408, Paraguay",0993 444000,https://wa.me/0993444000,4.27,5.0,736,NO,"ATM_BRUXISMO,MOMS",14,MOMS_HIDROBABY
Misol Centro de Estética,Salon de Belleza,General,Fernando de la Mora,"Ingavi 649, Fernando de la Mora 110312, Paraguay",0991 732328,https://wa.me/0991732328,8.15,4.8,106,YES,"ATM_BRUXISMO,ESTETICA_DENTAL,B2B_GYM_CORP",14,ATM_BRUXISMO
Pavigi Spa,Spa/Wellness,Spa,San Lorenzo,"MF56+XHR, Av. Pastora Céspedes, San Lorenzo 111438, Paraguay",0981 574641,https://wa.me/0981574641,7.74,4.2,195,NO,"ATM_BRUXISMO,EXPAT_HOTEL",13,ATM_BRUXISMO
Hidrobaby Spa Pinedo,Spa/Wellness,Spa,San Lorenzo,"Av. Mariscal López y, San Lorenzo 111420, Paraguay",0993 444222,https://wa.me/0993444222,9.23,5.0,377,YES,"ATM_BRUXISMO,MOMS",13,MOMS_HIDROBABY
DOLCE CANE boutique y spa canina - Lambaré,Spa/Wellness,Spa,Lambaré,"Av. Cacique Lambare, Lambaré 110725, Paraguay",0992 344263,https://wa.me/0992344263,3.65,4.2,55,NO,"ATM_BRUXISMO,EXPAT_HOTEL",13,ATM_BRUXISMO
Guapa Spa de Uñas y Estética,Spa/Wellness,Spa,Asunción,"Doctor Juan Eulogio Estigarribia &, Charles De Gaulle, Asunción 001412, Paraguay",0981 192526,https://wa.me/0981192526,3.59,4.7,332,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",13,ATM_BRUXISMO
Dermo Beauty · Villa Morra,Salon de Belleza,General,Asunción,"Doctor Francisco Morra Nº 717 casi Eusebio Lillo Robles, Dr. Francisco Morra 717, Asunción 001411, Paraguay",0981 673700,https://wa.me/0981673700,4.46,4.6,206,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",13,ATM_BRUXISMO
Natura Spa,Spa/Wellness,Spa,Asunción,"Bélgica 853 entre, Eusebio Lillo Robles y, Asunción 1829, Paraguay",0981 169164,https://wa.me/0981169164,4.98,4.7,152,YES,"ATM_BRUXISMO,B2B_GYM_CORP",13,ATM_BRUXISMO
Teatro Guaraní,Otros,General,Asunción,"Independencia Nacional &, Oliva esq, Asunción 001101, Paraguay",0972 452099,https://wa.me/0972452099,4.16,4.5,726,YES,EXPAT_HOTEL,13,EXPAT_HOTEL
Guarani Hotel,Otros,General,Asunción,"Oliva esq, Asunción 001101, Paraguay",(021) 452 099,https://wa.me/59521452099,4.19,4.6,4559,YES,EXPAT_HOTEL,13,EXPAT_HOTEL
